名字,代码,持续月数,净值,实仓净值,月均涨幅,近年月均涨幅,近月涨幅,调仓间隔,调仓收益率,最大回撤,盈利能力因子,稳定因子,交易效率因子,持久因子,得分
盈亏同源2,ZH3499670,9,7.4873,7.378506,0.329562,0.329562,-0.159015,10.4,0.10720266,-0.159015,6.591240000000001,0.5465462886457619,0.9183370833798804,0.414702333840707,12.79571387567035
三年10倍,ZH3337164,19,16.3106,16.210945,0.242153,0.283723,0.181151,46.96363636363636,0.29590698,-0.184941,5.3419,0.5181791112782412,0.9743078327010016,0.5557309567291556,12.67311930648534
2026全力出击黑马,ZH2369777,64,24.5172,23.834306,0.054031,0.259946,0.567068,41.41395348837209,0.07824399,-0.293377,3.5516,0.5381935555360421,0.8854764648515632,0.7849441238868766,12.24083181729887
来了,ZH3433346,15,7.2975,7.213212,0.177182,0.18838,0.240136,24.04705882352941,0.13254566,-0.265171,3.678016,0.6460808916905961,0.935429958991803,0.5111151359486343,10.70819272030645
管汤包实验,ZH3491758,9,4.243399999999999,4.111766,0.231591,0.231591,0.9667669999999999,6.102564102564103,0.04340188,-0.071145,4.631819999999999,0.628401157360045,0.7942050358044431,0.414702333840707,10.54575260165832
龘龘龘,ZH3368075,23,41.745,37.907272,0.34437,0.060157,0.017917,4.387323943661972,0.02679822,-0.346778,3.476844,0.4019029436263492,0.688321168823496,0.591790562740863,10.08624438928288
