名字,代码,持续月数,净值,实仓净值,月均涨幅,近年月均涨幅,近月涨幅,调仓间隔,调仓收益率,最大回撤,盈利能力因子,稳定因子,交易效率因子,持久因子,得分
三年10倍,ZH3337164,22.0,41.2381,39.54546125702101,0.26119024365647586,0.3684320118567852,0.3681862941991993,56.46666666666667,0.5771040156423601,-0.18494081893793984,6.51070609153323,0.5340021905744977,0.9883213509897114,0.583400774154115,14.093477754155664
稳健成长组合,ZH836229,124.0,18.4133,16.430535823831793,0.03671511722524035,0.2839433744617998,1.6022841516869746,5.943859649122807,0.04585607637014144,-0.2463099061264822,3.70104143134352,0.5002283404283678,0.8045293229310475,0.909775921698996,12.983289192458003
不动脑,ZH3507361,11.0,11.2847,11.030383138681266,0.32595173653908804,0.32595173653908804,0.9789136247946134,5.175000000000001,0.04585710449200153,-0.08634469858005275,6.519034730781761,0.5734337501393602,0.8045334538574916,0.45257675350630217,12.674106117037711
成长为王,ZH104890,138.0,134.6665,125.10927004223713,0.05153629108813353,0.179775947525919,0.3681878783111366,48.4,0.23628184754472392,-0.29420893866219316,2.569601699016096,0.5221371721330934,0.9666088083839829,0.9299657503090294,12.501325548464344
赌出个自由,ZH1236871,102.0,255.40980000000002,253.2984683473243,0.06043367693582221,0.1947680096701647,0.4880225725093115,42.35,0.2752263887285433,-0.19458925262507726,2.8206855315285537,0.5533916831679722,0.9720385394768863,0.8729135107090681,12.40058740809066
夹头,ZH3463024,15.0,15.018999999999998,15.145397263282817,0.2328669921175693,0.2924013213871271,0.20400156334555936,5.554098360655738,0.04662294445442594,-0.09804685262615272,5.37175179358608,0.632439444837122,0.8075678636343241,0.5111151359486343,12.004700780966616
