名字,代码,持续月数,净值,实仓净值,月均涨幅,近年月均涨幅,近月涨幅,调仓间隔,调仓收益率,最大回撤,盈利能力因子,稳定因子,交易效率因子,持久因子,得分
三年10倍,ZH3337164,22.0,41.2381,39.54546125702101,0.26119024365647586,0.3704835393463323,0.3681862941991993,56.23333333333335,0.5802669007146306,-0.18494081893793984,6.535324421407795,0.5340021905744977,0.9883969716606735,0.583400774154115,14.118322946043119
不动脑,ZH3507361,11.0,11.2847,11.030383138681266,0.32595173653908804,0.32595173653908804,0.9789136247946134,5.175000000000001,0.04585710449200153,-0.08634469858005275,6.519034730781761,0.5734337501393602,0.8045334538574916,0.45257675350630217,12.674106117037711
稳健成长组合,ZH836229,124.0,18.4133,16.430535823831793,0.03671511722524035,0.24395542782188795,1.6022841516869746,5.919298245614035,0.04617910193241337,-0.2463099061264822,3.221186071664578,0.5002283404283678,0.8058196008251378,0.909775921698996,12.507304666461332
赌出个自由,ZH1236871,102.0,255.40980000000002,253.2984683473243,0.06043367693582221,0.20229047585022342,0.4880225725093115,42.175000000000004,0.280646285787685,-0.19458925262507726,2.9109551256892585,0.5533916831679722,0.9726677652554866,0.8729135107090681,12.492744679587167
成长为王,ZH104890,138.0,134.6665,125.10927004223713,0.05153629108813353,0.1577726640962709,0.3681878783111366,48.2,0.23628184754472392,-0.29420893866219316,2.3055622978603187,0.5221371721330934,0.9666088083839829,0.9299657503090294,12.237286147308566
盈亏同源2,ZH3499670,12.0,11.5295,10.94215630203799,0.2777756541881848,0.29468891718607293,0.2503118420133518,7.195348837209304,0.05982178353649048,-0.16487465053393832,5.758472239738353,0.548468306032442,0.849099294418516,0.46899920821597907,12.137232886538197
