名字,代码,持续月数,净值,实仓净值,月均涨幅,近年月均涨幅,近月涨幅,调仓间隔,调仓收益率,最大回撤,盈利能力因子,稳定因子,交易效率因子,持久因子,得分
三年10倍,ZH3337164,22.0,33.2928,31.918559163285515,0.24949178941374142,0.34698484574510546,0.11082030085904193,56.699999999999996,0.5612199597417575,-0.18494081893793984,6.159752464251197,0.5292820268318208,0.9879275569819693,0.583400774154115,13.73662258110773
成长为王,ZH104890,138.0,113.4956,105.42978582810026,0.049989137774520485,0.16198368441936897,0.15468072103253605,42.35,0.1923119659880692,-0.29420893866219316,2.3437173152285915,0.5210931261145951,0.9576553167006269,0.9299657503090294,12.247536643608273
赌出个自由,ZH1236871,102.0,179.0125,177.59156795841702,0.0560870462887492,0.15782164917004413,0.044666246507865166,48.6,0.2785684819245542,-0.19458925262507726,2.342556160350523,0.5515183226306236,0.9724296236911937,0.8729135107090681,11.921757929018204
夹头,ZH3463024,15.0,13.7792,13.926243507935618,0.22665469780774627,0.2846359534998483,0.11081714869821412,5.766101694915253,0.04699730463335983,-0.09804685262615272,5.22886902446015,0.6282688722533675,0.8090207328643143,0.5111151359486343,11.862006046946899
福星高照,ZH012008,140.0,16.75,13.727843379507775,0.02820712987800808,0.18829994298346062,0.07885027989326979,6.542307692307692,0.03498042905436827,-0.2720340772201732,2.4852563548255917,0.5178536307500736,0.7501137328429986,0.9326814686129091,11.782221464395025
不动脑,ZH3507361,11.0,7.846399999999999,7.663262545933552,0.275600126101779,0.275600126101779,0.4250459099842133,4.887272727272728,0.040479919489380345,-0.08634469858005275,5.51200252203558,0.5759516995157755,0.78058101440459,0.45257675350630217,11.59773453930924
