名字,代码,持续月数,净值,实仓净值,月均涨幅,近年月均涨幅,近月涨幅,调仓间隔,调仓收益率,最大回撤,盈利能力因子,稳定因子,交易效率因子,持久因子,得分
赌出个自由,ZH1236871,103.0,256.3406,253.9624837396291,0.059914797701732754,0.17373495701081398,0.006989115824608859,30.672727272727272,0.18347389289936333,-0.19458925262507726,2.56413786574363,0.5533018220747223,0.955309812458501,0.8747548830298284,12.106653306402654
海歌一号,ZH063974,140.0,10.7149,10.594799523317441,0.024537785577615344,0.1378802603441878,0.2797994253689764,67.48,0.23655611601129967,-0.3147102406984661,1.8508654087511764,0.5080106783682695,0.966653692745559,0.9326814686129091,11.787607445646486
成长为王,ZH104890,139.0,109.8191,101.94223402968618,0.0502305879122256,0.09961255468537095,-0.1299564503630706,48.2,0.12673390132256013,-0.29420893866219316,1.597195359522256,0.5205908341585499,0.9321181762039199,0.9313284938885426,11.433440179512365
稳健成长组合,ZH836229,125.0,16.913,14.963524895358876,0.03603880367712731,0.18037380247366663,-0.04782407628888991,4.819999999999999,0.02819100222567439,-0.2463099061264822,2.452796059101018,0.4995819948632781,0.7006321002703575,0.9112919070848426,11.433317704369268
三年10倍,ZH3337164,23.0,26.6081,25.50174010975782,0.23662523299528782,0.1458077532421872,-0.303805001550849,67.48,0.47686927583929406,-0.303805001550849,3.642694902868549,0.5231482016588898,0.9853544148544234,0.591790562740863,11.26444028827675
财富自由之梦,ZH014831,141.0,7.8596,7.85191294999435,0.018256621349109284,0.09859409320816387,-0.41559752244378334,42.175000000000004,0.11935391528814887,-0.41559752244378334,1.3291820892908408,0.5052951651312251,0.9274426968314659,0.9340248135423395,11.15497903971284
