名字,代码,持续月数,净值,实仓净值,月均涨幅,近年月均涨幅,近月涨幅,调仓间隔,调仓收益率,最大回撤,盈利能力因子,稳定因子,交易效率因子,持久因子,得分
三年10倍,ZH3337164,22,29.8716,13.988807,0.244455,0.33775,0,56.4667,0.57090243,-0.184941,6.00864,0.5265516465605509,0.9881704344414006,0.583400774154115,13.58350836896355
福星高照,ZH012008,140,15.4527,4.467196,0.027644,0.181729,0,16.94,0.08932989,-0.272034,2.401899999999999,0.5170013130916619,0.9004984178491674,0.9326814686129091,12.14916684692953
成长为王,ZH104890,138,98.15780000000001,3.29612,0.048868,0.149094,0,42.35,0.200551,-0.294209,2.180072,0.5197566981428186,0.959647608790775,0.9299657503090294,12.08853177667835
夹头,ZH3463024,15,12.3048,13.365617,0.219267,0.275401,0,16.94,0.14320632,-0.09804700000000001,5.058948,0.6215997993025114,0.940795213078411,0.5111151359486343,12.08073939017818
成长价值,ZH009963,140,153.1455,4.866473,0.059327,0.141801,0,16.94,0.09317348,-0.40336,2.176228,0.5260480513761856,0.9048998196464005,0.9326814686129091,11.94574579060575
赌出个自由,ZH1236871,102,171.3158,4.508192,0.055649,0.154099,0,48.4,0.27670281,-0.194589,2.29438,0.5509602486414461,0.9722125474938534,0.8729135107090681,11.87237246608648
