名字,代码,持续月数,净值,实仓净值,月均涨幅,近年月均涨幅,近月涨幅,调仓间隔,调仓收益率,最大回撤,盈利能力因子,稳定因子,交易效率因子,持久因子,得分
赌出个自由,ZH1236871,105.0,271.1548,268.6397838882089,0.059038144521427346,0.16312079469347046,0.0,30.800000000000004,0.16019341536087484,-0.19458925262507726,2.429754692493064,0.5532913148437693,0.9478373558892066,0.8783845942376372,11.975250234667913
成长为王,ZH104890,141.0,128.7888,119.48161115453738,0.050254967011196555,0.1129208307857057,0.0,42.35,0.09101249258057109,-0.29420893866219316,1.7570897055180408,0.5213803315141243,0.9024696697671608,0.9340248135423395,11.524052741130024
海歌一号,ZH063974,142.0,10.2507,10.135358474847207,0.023671392754201697,0.10954399290008789,0.0,67.75999999999999,0.22222487489698572,-0.3147102406984661,1.5038990568346682,0.5069140871055253,0.9641512867465041,0.9353586647887204,11.450777657700748
稳健成长组合,ZH836229,127.0,17.5657,15.48346403347615,0.03651227387032525,0.184247012473257,0.0,4.840000000000001,0.019091215267656114,-0.2463099061264822,2.503062340641686,0.5009964569693308,0.6008510313369663,0.9142878297633348,11.206626699965257
征程计划001,ZH026901,142.0,12.0236,11.888533745892865,0.026219136620028567,0.08555440293230283,0.0,67.75999999999999,0.16793924819459427,-0.4633274956217163,1.2364059281478625,0.5199212963725582,0.9505621517663425,0.9353586647887204,11.155524333340491
小顽主,ZH019720,143.0,25.8664,25.044063243299888,0.029002230052910957,0.10514498176101113,0.0,18.822222222222223,0.06240262309555167,-0.2930221210149642,1.4937576215554214,0.5236622760784188,0.8553796517610965,0.9366831555983788,11.14034094210578
