名字,代码,持续月数,净值,实仓净值,月均涨幅,近年月均涨幅,近月涨幅,调仓间隔,调仓收益率,最大回撤,盈利能力因子,稳定因子,交易效率因子,持久因子,得分
三年10倍,ZH3337164,20,25.10 ,24.95 ,25.21%,33.59%,48.72%,49.13 ,34.5%,-18.5%,6.05 ,0.53 ,0.98 ,0.57 ,13.47 
盈亏同源2,ZH3499670,10,10.31 ,10.16 ,32.63%,32.63%,23.00%,11.01 ,11.7%,-9.2%,6.53 ,0.56 ,0.93 ,0.43 ,12.90 
2026全力出击黑马,ZH2369777,64,24.52 ,23.83 ,5.40%,25.99%,56.71%,41.41 ,7.8%,-29.3%,3.55 ,0.54 ,0.89 ,0.78 ,12.24 
来了,ZH3433346,16,9.54 ,9.39 ,17.95%,22.83%,15.42%,18.81 ,10.8%,-26.5%,4.18 ,0.65 ,0.92 ,0.52 ,11.25 
管汤包实验,ZH3491758,10,6.53 ,6.30 ,25.98%,25.98%,29.00%,5.57 ,4.4%,-7.1%,5.20 ,0.61 ,0.80 ,0.43 ,11.24 
绝地反击,ZH3403307,19,6.81 ,6.71 ,14.10%,18.50%,31.94%,24.67 ,10.3%,-21.1%,3.35 ,0.62 ,0.91 ,0.56 ,10.60 
