名字,代码,持续月数,净值,实仓净值,月均涨幅,近年月均涨幅,近月涨幅,调仓间隔,调仓收益率,最大回撤,盈利能力因子,稳定因子,交易效率因子,持久因子,得分
盈亏同源2,ZH3499670,9,8.257200000000001,8.13284,0.338038,0.338038,-0.082728,10.11818181818182,0.10644771,-0.082728,6.760759999999999,0.5522758922092964,0.9177030045488728,0.414702333840707,12.96906124274086
三年10倍,ZH3337164,19,16.3106,16.210945,0.242153,0.283723,0.181151,46.96363636363636,0.29590698,-0.184941,5.3419,0.5181791112782412,0.9743078327010016,0.5557309567291556,12.67311930648534
2026全力出击黑马,ZH2369777,64,24.5172,23.834306,0.054031,0.259946,0.567068,41.41395348837209,0.07824399,-0.293377,3.5516,0.5381935555360421,0.8854764648515632,0.7849441238868766,12.24083181729887
躬身入局,ZH3508777,8,7.2181,6.730509,0.333506,0.333506,-0.060896,2.176086956521739,0.02315909,-0.163314,6.670120000000001,0.5981452392400062,0.6516189614050311,0.3924720619434383,11.97042655705917
管汤包实验,ZH3491758,9,5.0328,4.873897,0.264491,0.264491,1.262866,5.907317073170733,0.04480934,-0.071145,5.289820000000001,0.5908878078156609,0.8002413383194775,0.414702333840707,11.18434815965904
激进一点,ZH3474617,11,7.8705,7.430177,0.262131,0.262131,-0.285582,3.818181818181819,0.02875276,-0.285582,5.242620000000001,0.6112588828618456,0.7053597379457105,0.4525767535063022,11.13799537124309
