名字,代码,持续月数,净值,实仓净值,月均涨幅,近年月均涨幅,近月涨幅,调仓间隔,调仓收益率,最大回撤,盈利能力因子,稳定因子,交易效率因子,持久因子,得分
三年10倍,ZH3337164,23.0,38.6557,37.06654768964627,0.24983414610619428,0.3396099110674713,0.0,56.46666666666667,0.5637379813671934,-0.18494081893793984,6.0739921016592096,0.5323405874222868,0.9879915916512716,0.591790562740863,13.71284140322135
赌出个自由,ZH1236871,103.0,254.5545,252.3631762630343,0.059846942208289955,0.18543293619603815,0.0,37.644444444444446,0.24546459191266679,-0.19458925262507726,2.7039707720187773,0.5532129364486297,0.9680539533227613,0.8747548830298284,12.28462974964449
不动脑,ZH3507361,12.0,12.2893,12.014185991100875,0.2987890918274974,0.2987890918274974,0.0,5.2,0.04732615660195294,-0.08634469858005275,5.975781836549949,0.5679008203811269,0.8102809174479058,0.46899920821597907,12.257519866786648
稳健成长组合,ZH836229,125.0,17.8127,15.879791627024833,0.03642139628743843,0.22362580883673064,0.0,5.841379310344828,0.04479886198058147,-0.2463099061264822,2.9748808763402748,0.5002039883644509,0.8001975683689571,0.9112919070848426,12.254720919405493
成长为王,ZH104890,139.0,126.3719,117.39899557291463,0.051165526404046244,0.1446249420882483,0.0,48.4,0.22518973790654928,-0.29420893866219316,2.14482351629135,0.522061811489474,0.9646965856029793,0.9313284938885426,12.08027454180956
财富自由之梦,ZH014831,141.0,14.1601,14.146946308321972,0.021204121508285052,0.14624941108172598,0.0,37.644444444444446,0.18998155299828512,-0.27843851362886246,1.9246259050469923,0.5143655181154849,0.957058968502787,0.9340248135423395,11.848342023467213
