名字,代码,持续月数,净值,实仓净值,月均涨幅,近年月均涨幅,近月涨幅,调仓间隔,调仓收益率,最大回撤,盈利能力因子,稳定因子,交易效率因子,持久因子,得分
三年10倍,ZH3337164,21,34.5083,15.565417,0.257956,0.36888,0.149415,48.2,0.49406494,-0.184941,6.490208000000001,0.5290795961929029,0.9859564492843129,0.5746206252093563,13.99950132051134
福星高照,ZH012008,139,19.23,5.755774,0.030329,0.214031,1.345616,16.87,0.10091069,-0.272034,2.811004,0.5121217080557354,0.9127655131413337,0.9313284938885426,12.58072170469953
盈亏同源2,ZH3499670,11,9.799900000000001,9.357261,0.294348,0.294348,-0.010046,13.65,0.12466948,-0.09182399999999999,5.88696,0.551116408419121,0.9308665335186197,0.4525767535063022,12.3987132835191
躬身入局,ZH3508777,10,10.0166,9.971195999999999,0.294979,0.294979,0.136154,12.53,0.12791041,-0.163314,5.89958,0.5987451794478376,0.9328132144884371,0.4345879896760937,12.3388807506458
夹头,ZH3463024,14,14.3031,15.388443,0.237849,0.284918,0.202129,16.87,0.15075691,-0.09804700000000001,5.321808,0.6291259042345966,0.9441267098780743,0.4980934789368155,12.26996838642653
赌出个自由,ZH1236871,101,213.1458,5.542782,0.057868,0.181889,0.120435,48.2,0.30846845,-0.194589,2.645612,0.5531604580944508,0.9755282242277191,0.871053996497025,12.22273510625678
